Hours_Mins,Depth,TempInSitu,SalinityInSitu_1pCal,datetime
10:0,0.263,29.14,34.383233,2021-01-15T10:00:00Z
10:1,0.2845,29.12,34.32009178,2021-01-15T10:01:00Z
10:10,0.26366666666666666,29.2,34.03570956,2021-01-15T10:10:00Z
10:11,0.2713333333333333,29.2,34.14891525,2021-01-15T10:11:00Z
10:12,0.267,29.19,34.1260154,2021-01-15T10:12:00Z
10:13,0.26983333333333337,29.19,34.04942103,2021-01-15T10:13:00Z
10:14,0.261,29.12,34.04934909,2021-01-15T10:14:00Z
10:15,0.2733333333333333,29.06,34.04232287,2021-01-15T10:15:00Z
10:16,0.26133333333333336,28.7,33.98828768,2021-01-15T10:16:00Z
10:17,0.2813333333333333,28.76,33.99485241,2021-01-15T10:17:00Z
10:18,0.27183333333333337,28.77,33.994275879999996,2021-01-15T10:18:00Z
10:19,0.271,28.81,33.93617565,2021-01-15T10:19:00Z
10:2,0.2575,29.09,34.34162304,2021-01-15T10:02:00Z
10:20,0.2768333333333333,28.73,33.4115619,2021-01-15T10:20:00Z
10:21,0.2605,28.84,33.85900308,2021-01-15T10:21:00Z
10:22,0.254,28.79,33.88798794,2021-01-15T10:22:00Z
10:23,0.2665,28.83,33.73857144,2021-01-15T10:23:00Z
10:24,0.24766666666666667,28.9,33.70534699,2021-01-15T10:24:00Z
10:25,0.2695,29.05,33.69080796,2021-01-15T10:25:00Z
10:26,0.27749999999999997,29.04,33.730533,2021-01-15T10:26:00Z
10:27,0.253,29.19,33.84439459,2021-01-15T10:27:00Z
10:28,0.25966666666666666,29.17,33.87172293,2021-01-15T10:28:00Z
10:29,0.2925,29.19,34.04285408,2021-01-15T10:29:00Z
10:3,0.24883333333333332,29.16,34.19752693,2021-01-15T10:03:00Z
10:30,0.279,29.19,33.88062586,2021-01-15T10:30:00Z
10:31,0.25116666666666665,29.24,33.87165613,2021-01-15T10:31:00Z
10:32,0.26266666666666666,29.43,33.62329638,2021-01-15T10:32:00Z
10:33,0.27266666666666667,29.25,33.788899549999996,2021-01-15T10:33:00Z
10:34,0.25983333333333336,29.16,32.7441798,2021-01-15T10:34:00Z
10:35,0.25566666666666665,29.22,32.84066771,2021-01-15T10:35:00Z
10:36,0.275,29.3,33.59679284,2021-01-15T10:36:00Z
10:37,0.26016666666666666,29.3,32.97461179,2021-01-15T10:37:00Z
10:38,0.24633333333333335,29.27,32.92579364,2021-01-15T10:38:00Z
10:39,0.269,29.31,32.9392988,2021-01-15T10:39:00Z
10:4,0.2851666666666667,29.15,34.20132235,2021-01-15T10:04:00Z
10:40,0.2675,29.24,33.95761868,2021-01-15T10:40:00Z
10:41,0.2445,29.27,33.72560305,2021-01-15T10:41:00Z
10:42,0.26116666666666666,29.31,33.57675347,2021-01-15T10:42:00Z
10:43,0.289,29.36,33.71489507,2021-01-15T10:43:00Z
10:44,0.2593333333333333,29.36,33.72470698,2021-01-15T10:44:00Z
10:45,0.25483333333333336,29.38,33.68449362,2021-01-15T10:45:00Z
10:46,0.2583333333333333,29.36,33.63311042,2021-01-15T10:46:00Z
10:47,0.26866666666666666,29.37,33.52836716,2021-01-15T10:47:00Z
10:48,0.27266666666666667,29.37,33.5967048,2021-01-15T10:48:00Z
10:49,0.2685,29.42,33.76138659,2021-01-15T10:49:00Z
10:5,0.26616666666666666,29.16,34.17743471,2021-01-15T10:05:00Z
10:50,0.25883333333333336,29.39,33.6611273,2021-01-15T10:50:00Z
10:51,0.24866666666666667,29.39,33.64476371,2021-01-15T10:51:00Z
10:52,0.27216666666666667,29.38,33.67794181,2021-01-15T10:52:00Z
10:53,0.26866666666666666,29.42,33.6662824,2021-01-15T10:53:00Z
10:54,0.2445,29.43,33.65928245,2021-01-15T10:54:00Z
